MoveID,Name,Type,Frequency,AC,DamageBase,Class,Range,Details,Contest,PageNum,TM
153,Vital Throw,6,EOT,0,7,Physical,"Melee, 1 Target, Push, Reaction","If the user is targeted by a Melee attack and has not yet taken a turn this round, the user may declare Vital Throw. After the triggering attack is resolved, the user may use Vital Throw against the triggering foe as a Reaction. Vital Throw cannot miss.",Cool - Desperation,337,
154,Wake-Up Slap,6,At-Will,2,5,Physical,"Melee, 1 Target","If the target is Asleep, Wake-Up Slap uses Damage Base 10 instead, and cures the target of sleep.",Smart - Inversed Appeal,337,
155,Blast Burn,7,Daily x2,4,15,Special,"Close Blast 3, Smite, Exhaust",None,Beauty - Seen Nothing Yet,338,
156,Blaze Kick,7,EOT,4,8,Physical,"Melee, 1 Target","Blaze Kick Burns the target on 19+, and is a Critical Hit on 18+.",Beauty - Exhausting Act,338,
157,Blue Flare,7,Scene x2,5,13,Special,"10, 1 Target, Smite",Blue Flare Burns the target on 17+.,Beauty - Steady Performance,338,
158,Ember,7,At-Will,2,4,Special,"4, 1 Target",Ember Burns the target on 18+. Grants Firestarter,Beauty - Steady Performance,338,
159,Eruption,7,Daily,4,15,Special,Burst 1*,"For each 10% of Hit Points the user is missing, Eruption's Damage Base is reduced by 1. Eruption creates a 1 meter burst, but also affects an area 10 meters tall straight up.",Beauty - Desperation,338,
160,Fiery Dance,7,EOT,2,8,Special,"4, 1 Target","If Fiery Dance successfully hits a foe, it raises the user's Special Attack by 1 Combat Stage on Even- Numbered Rolls.",Cool - Desperation,338,
161,Fire Blast,7,Scene x2,4,11,Special,"6, 1 Target, Smite",Fire Blast burns the target on 19+.,Beauty - Exhausting Act,338,TM 38
162,Fire Fang,7,At-Will,3,7,Physical,"Melee, 1 Target","Fire Fang Burns or Flinches on 18-19 during Accuracy Check; flip a coin to determine whether the foe gets Burned or Flinches. On 20 during Accuracy Check, the foe is Burned and Flinches.",Beauty - Steady Performance,339,
163,Fire Pledge,7,Scene,2,8,Special,"6, 1 Target, Pledge","If an ally uses Grass Pledge or Water Pledge, you may use Fire Pledge as an Interrupt to target the same foe. If used in conjunction with Grass Pledge, Fire Hazards are created in a Burst 1 around the target. If used in conjunction with Water Pledge, a Rainbow is created that lasts for 5 rounds. Consult the Pledge keyword for additional details.",Beauty - Safe Option,339,
164,Fire Punch,7,At-Will,2,8,Physical,"Melee, 1 Target",Fire Punch Burns the target on 19+ during Accuracy Check.,Beauty - Exhausting Act,339,
165,Fire Spin,7,Scene x2,4,4,Special,"3, 1 Target",The target is put in a Vortex. Grants Firestarter,Beauty - Safe Option,339,
166,Flame Burst,7,At-Will,2,7,Special,"6, 1 Target",Any Trainers or Pokémon cardinally adjacent to the target lose 5 Hit Points.,Beauty - Exhausting Act,339,
167,Flame Charge,7,At-Will,2,5,Physical,"Melee, 1 Target, Dash",Raise the user's Speed 1 Combat Stage.,Tough - Excitement,339,TM 43
168,Flame Wheel,7,At-Will,2,6,Physical,"Melee, 1 Target, Dash",Flame Wheel Burns the target on 19+.,Beauty - Reliable,339,
169,Flamethrower,7,EOT,2,9,Special,"4, 1 Target",Flamethrower Burns the target on 19+.,Beauty - Exhausting Act,340,TM 35
170,Flare Blitz,7,Scene x2,2,12,Physical,"Melee, 1 Target, Dash, Push, Recoil 1/3",Flare Blitz Burns the target on 19+.,Smart - Seen Nothing Yet,340,
171,Fusion Flare,7,Scene x2,2,10,Special,"8, 1 Target, Smite","If Fusion Bolt was used this round or last round by any participant of the encounter, Fusion Flare has its Damage Base increased by +3.",Beauty - Seen Nothing Yet,340,
172,Heat Crash,7,EOT,2,4,Physical,"Melee, 1 Target, Dash","For each weight class the user is above the target, increase Heat Crash's Damage Base by +2.",Tough - Incentives,340,
173,Heat Wave,7,Scene x2,4,10,Special,"Close Blast 3, Smite",Heat Wave Burns all Legal Targets on 18+.,Beauty - Exhausting Act,340,
174,Incinerate,7,At-Will,2,6,Special,Line 3,"If a target is holding a Berry, the Berry is destroyed, without its ability activating.",Beauty - Steady Performance,340,TM 59
175,Inferno,7,At-Will,9,10,Special,"6, 1 Target",Inferno Burns the target. Inferno ignores the target's Evasion if there are no other combatants or Rough or Blocking Terrain within 2 meters of the target.,Beauty - Steady Performance,340,
176,Lava Plume,7,EOT,2,8,Special,Burst 1,Lava Plume burns all targets on 16+.,Tough - Exhausting Act,340,
177,Magma Storm,7,Scene,6,10,Special,"6, 1 Target",The target is put in a Vortex; this effect occurs even if Magma Storm misses its target.,Tough - Reliable,341,
178,Mystical Fire,7,EOT,2,7,Special,"6, 1 Target",Mystical Fire lowers the target's Special Attack by 1 Combat Stage.,Beauty - Special Attention,341,
179,Overheat,7,Scene,4,13,Special,"8, Ranged Blast 3, Smite",Lower the user's Special Attack 2 Combat Stages after damage.,Beauty - Seen Nothing Yet,341,TM 50
180,Sacred Fire,7,EOT,3,10,Physical,"6, 1 Target",Sacred Fire Burns the target on Even-Numbered Rolls.,Beauty - Seen Nothing Yet,341,
181,Searing Shot,7,EOT,2,10,Special,Burst 1,Searing Shot Burns all targets on 15+.,Beauty - Exhausting Act,341,
182,Sunny Day,7,Daily x2,0,0,Status,"Field, Weather","The weather becomes Sunny. While Sunny, Fire-Type attacks have their Damage Base increased by +2, and Water-Type Attacks have their Damage Base reduced by -2 (minimum 1).",Beauty - Sabotage,341,TM 11
183,V-Create,7,Daily,5,18,Physical,"Melee, 1 Target, Smite","Lower the user's Defense, Special Defense, and Speed by 1 CS each.",Beauty - Seen Nothing Yet,341,
184,Will-O-Wisp,7,EOT,5,0,Status,"6, 1 Target",The target is Burned.,Beauty - Exhausting Act,341,TM 61
185,Acrobatics,8,At-Will,2,6,Status,"Melee, Dash, 1 Target","Once per scene, if the user is not holding an item, Acrobatics instead has a Damage Base of 12 (3d12+10 / 30).",Smart - Incentives,342,TM 62
186,Aerial Ace,8,EOT,0,6,Physical,"Melee, 1 Target",Aerial Ace cannot miss.,Cool - Exhausting Act,342,TM 40
187,Aeroblast,8,Daily,3,10,Special,Line 6,Aeroblast is a Critical Hit on an Even-Numbered Roll.,Cool - Seen Nothing Yet,342,
188,Air Cutter,8,At-Will,2,6,Special,Cone 2,Air Cutter is a Critical Hit on 18+.,Cool - Steady Performance,342,
189,Air Slash,8,EOT,3,8,Special,"6, 1 Target",Air Slash Flinches the target on 15+.,Cool - Exhausting Act,342,
190,Bounce,8,At-Will,4,8,Physical,"Melee, 1 Target, Set-Up, Full Action","Set-Up Effect: The user is moved up 15 meters into the air. Resolution Effect: The user may shift twice while in the air, using their overland or sky speed, and then comes down next to a legal target, and attacks with Bounce. Bounce Paralyzes the target on 16+. Grants High Jump +1",Cute - Special Attention,342,
191,Brave Bird,8,Scene x2,2,12,Physical,"Melee, Dash, Push, Recoil 1/3",The target is pushed back 2 meters.,Cute - Desperation,342,
192,Chatter,8,At-Will,2,7,Special,"4, 1 Target, Sonic",Chatter confuses all targets on 16+.,Smart - Catching Up,342,
193,Defog,8,Daily x2,0,0,Status,"Field, Weather","The Weather becomes Clear, and all Blessings, Coats, and Hazards are destroyed. Clear Weather is the default weather, conferring no innate bonuses or penalties of any sort.",Beauty - Sabotage,343,
194,Drill Peck,8,EOT,2,8,Physical,"Melee, 1 Target, Dash",None,Cool - Steady Performance,343,
195,Feather Dance,8,EOT,2,0,Status,"Burst 1, Friendly",All legal targets have their Attack lowered 2 Combat Stages.,Beauty - Excitement,343,
196,Fly,8,At-Will,3,8,Physical,"Melee, Dash, Set-Up","Set-Up Effect: The user is moved up 25 meters into the air. Resolution Effect: The user may shift twice while in the air, using their overland or sky speed, and then comes down next to a legal target, and attacks with Fly. Grants Sky +3",Smart - Special Attention,343,HM 02
197,Gust,8,At-Will,2,4,Special,"4, 1 Target","If the target is airborne as a result of Fly or Sky Drop, Gust can hit them, ignoring Range and has a Damage Base of 8 instead. Grants Guster",Smart - Steady Performance,343,
198,Hurricane,8,Scene x2,7,11,Special,"Burst 1, Smite","Hurricane Confuses its target on 15+. If the target is in Sunny Weather, Hurricane's Accuracy Check is 11. If the target is in Rainy Weather, Hurricane cannot miss. If the target is airborne as a result of Fly or Sky Drop, Hurricane cannot miss.",Cool - Exhausting Act,343,
199,Mirror Move,8,Scene x2,0,0,Status,"6, 1 Target, Illusion",Use the Move the target has used on their last turn. You may choose new targets for the Move. Mirror Move cannot miss.,Smart - Double Time,343,
200,Oblivion Wing,8,Daily,2,8,Special,"Melee, 1 Target",The user gains HP equal to Oblivion Wing's Damage Roll.,Cool - Catching Up,344,
201,Peck,8,At-Will,2,4,Physical,"Melee, 1 Target",None,Cool - Steady Performance,344,
202,Pluck,8,At-Will,2,6,Physical,"Melee, 1 Target","If the target has a consumable Held Item, Pluck destroys the Item and Pluck's user may consume that Item – Snacks consumed this way do not count towards the snack limit.",Cute - Attention Grabber,344,
203,Roost,8,Daily x2,0,0,Status,Self,"The user regains Hit Points equal to half of its full Hit Points. If the user is a Flying Type, it loses the Flying Type until the start of their next turn.",Cool - Safe Option,344,
204,Sky Attack,8,Scene x2,4,14,Physical,"Melee, Pass, Set-Up, Full Action","Set-Up Effect: The user is moved up 25 meters into the air. Resolution Effect: The user may shift until they are next to a legal target in the encounter. They may then shift again, and pass through legal targets to attack with Sky Attack. Sky Attack Flinches a target on 17-20 during Accuracy Check.",Cool - Special Attention,344,
205,Sky Drop,8,Scene x2,3,6,Physical,"Melee, Target, Set-Up","Set-Up Effect: Make Sky Drop's Accuracy Check. If the user hits, the user and target are moved 25-meters into the air. The target forfeits their next turn, and cannot Shift or take actions until Sky Drop is resolved. Resolution Effect: Shift while in the air, and lower both the user and the target heights back to the ground. Then apply Sky Drop's damage. If the target has a Sky or Levitate Speed, Sky Drop fails to deal damage. If the user is Fainted after the Set-Up but before the Resolution, the target falls to the ground and takes damage as if Sky Drop had a Damage Base of 3 (1d6+5/8) unless they have a Sky or Levitate Speed, in which case they take no damage.",Smart - Special Attention,344,TM 58
206,Tailwind,8,Scene,0,0,Status,See Effect,"For the remainder of the encounter, all allied trainers and Pokémon gain +5 to their Initiative. Multiple instances of Tailwind cannot stack. Grants Guster",Smart - Saving Grace,345,
207,Wing Attack,8,At-Will,2,6,Physical,"Melee, 1 Target",None.,Cool - Steady Performance,345,
208,Astonish,9,At-Will,2,3,Physical,"Melee, 1 Target","Astonish Flinches the target on 15+. Once per scene, if the target is unaware of the user's presence, Astonish automatically Flinches the target.",Smart - Steady Performance,346,
209,Confuse Ray,9,Scene x2,0,0,Status,"6, 1 Target",The target is Confused. Confuse Ray cannot miss.,Smart - Unsettling,346,
210,Curse,9,See Text,0,0,Status,Self,"If the user is not a Ghost Type, Curse has a Frequency of EOT, and when used the user lowers its Speed by -1 Combat Stage, but raises Attack and Defense by +1 Combat Stage each. If the user is a Ghost Type, Curse has a Frequency of Battle, and when used the user loses 1/3rd of their Max Hit Points and a target Pokémon or Trainer within 8 meters of the user becomes Cursed. This Hit Point loss cannot be prevented in any way.",Tough - Safe Option,346,
211,Destiny Bond,9,EOT,0,0,Status,"Burst 10, Friendly","All enemy targets in the burst become Bound to the user until the end of the user's next turn. If a Bound target causes the user to Faint through a Damaging Attack, the Bound target immediately faints after their attack is resolved.",Smart - Big Show,346,
212,Grudge,9,Daily,0,0,Status,"6, 1 Target, Interrupt","You may use Grudge as an Interrupt when a Damaging Attack causes the user to faint. Grudge is activated as a Free Action (does not take up a Command). The attack is resolved as usual, and the user Faints. The attacker that caused the user to Faint becomes Suppressed for the remainder of the encounter; switching and Taking a Breather does not end Suppression when used this way.",Tough - Unsettling,346,
213,Hex,9,Scene,2,7,Special,"6, 1 Target","If Hex's target has a Persistent Status Affliction, Hex's Damage Base is 13 instead (4d10+10 / 35).",Smart - Incentives,346,
214,Lick,9,At-Will,2,3,Physical,"Melee, 1 Target",Lick Paralyzes the target on 15+ during Accuracy Check.,Tough - Inversed Appeal,347,
215,Night Shade,9,Scene x2,2,0,Special,"8, 1 Target",The target loses Hit Points equal to the level of Night Shade's user. Do not apply weakness or resistance. Do not apply stats.,Smart - Steady Performance,347,
216,Nightmare,9,Scene x2,2,0,Status,"Melee, 1 Target",Nightmare can only hit Legal Targets that are Asleep. The target gains Bad Sleep.,Smart - Excitement,347,
217,Ominous Wind,9,EOT,2,6,Special,"6, 1 Target, Spirit Surge","On 19+, the user has each of its stats raised by +1 Combat Stage.",Smart - Get Ready!,347,
218,Phantom Force,9,Scene x2,2,9,Physical,"Melee, 1 Target, Set-Up","Set-Up Effect: The user is removed from the field, and their turn ends. Resolution Effect: Phantom Force's user appears adjacent to any legal target on the field, ignoring Movement Capabilities, and then uses Phantom Force's attack. Phantom Force cannot be avoided by Moves with the Shield Keyword, the Dodge Ability, or similar effects, and Intercepts may not be attempted in response.",Smart - Seen Nothing Yet,347,
219,Shadow Ball,9,At-Will,2,8,Special,"8, 1 Target",Shadow Ball lowers the foe's Special Defense 1 Combat Stage on 17+.,Smart - Exhausting Act,347,TM 30
220,Shadow Claw,9,At-Will,2,7,Physical,"Melee, Pass",Shadow Claw is a Critical Hit on 18+ during Accuracy Check.,Cute - Exhausting Act,347,TM 65
221,Shadow Force,9,Daily x3,2,12,Physical,"Melee, 1 Target, Set-Up","Set-Up Effect: The user is removed from the field, and their turn ends. Resolution Effect: Shadow Force's user appears adjacent to any legal Target, ignoring Movement Capabilities, and then uses Shadow Force's attack.",Smart - Seen Nothing Yet,348,
222,Shadow Punch,9,EOT,0,6,Physical,"6, 1 Target",Shadow Punch cannot miss.,Smart - Exhausting Act,348,
223,Shadow Sneak,9,At-Will,2,4,Physical,"Melee, 1 Target, Priority","Priority - If the user has not yet taken their turn that round, Shadow Sneak may be declared during a foe's turn to immediately take your turn and use Shadow Sneak.",Smart - Saving Grace,348,
224,Spite,9,Scene,2,0,Status,"6, 1 Target, Trigger",Spite may be used as a Free Action that does not take up a Command whenever the user is hit by a Move. That Move becomes Disabled for the attacker.,Tough - Excitement,348,
225,Trick-or-Treat,9,Daily,2,0,Status,"6, 1 Target",The target gains the Ghost Type in addition to its other Types for 5 turns.,Cute - Good Show,348,
226,Absorb,10,At-Will,2,2,Special,"4, 1 Target","After the target takes damage, the user gains Hit Points equal to half of the damage they dealt to the target.",Smart - Good Show!,349,
227,Aromatherapy,10,Scene,0,0,Status,Burst 1,All allies in the burst are cured of one status condition of their choice.,Smart - Reflective Appeal,349,
228,Bullet Seed,10,EOT,4,3,Physical,"6, 1 Target, Five Strike",None,Cool - Reliable,349,
229,Cotton Guard,10,Scene,0,0,Status,Self,Raise the user's Defense 3 Combat Stages.,Cute - Get Ready!,349,
230,Cotton Spore,10,EOT,2,0,Status,"Burst 1, Powder",All Legal Targets have their Speed lowered 2 Combat Stages.,Beauty - Saving Grace,349,
231,Energy Ball,10,EOT,2,9,Special,"8, 1 Target",Energy Ball lowers the foe's Special Defense 1 Combat Stage on 17+.,Beauty - Exhausting Act,349,TM 53
232,Forest's Curse,10,Daily,2,0,Status,"6, 1 Target",The target gains the Grass Type in addition to its other Types for 5 turns.,Smart - Good Show,349,
233,Frenzy Plant,10,Daily x2,4,15,Special,"3, 5 Targets, Smite, Exhaust",None,Cool - Seen Nothing Yet,349,
234,Giga Drain,10,Scene x2,2,8,Special,"6, 1 Target","After the target takes damage, the user gains Hit Points equal to half of the damage they dealt to the target.",Smart - Good Show!,350,
235,Grass Knot,10,EOT,2,0,Special,"5, 1 Target, Weight Class",Grass Knot's Damage Base is equal to twice the target's Weight Class.,Smart - Incentives,350,TM 86
236,Grass Pledge,10,Scene,2,8,Special,"6, 1 Target, Pledge","If an ally uses Fire Pledge or Water Pledge, you may use Grass Pledge as an Interrupt to target the same foe. If used in conjunction with Fire Pledge, Fire Hazards are created in a Burst 1 around the target. If used in conjunction with Water Pledge, the target and all foes adjacent to the target are slowed and have their Speed reduced by 2 Combat Stages. Consult the Pledge keyword for additional details.",Beauty - Safe Option,350,
237,Grass Whistle,10,Scene x2,6,0,Status,"6, 1 Target, Sonic",The target falls Asleep.,Smart - Excitement,350,
238,Grassy Terrain,10,Daily x2,0,0,Status,Field,"The area becomes Grassy for 5 rounds. While Grassy, all Pokémon and Trainers standing on the ground recover 1/10th of their maximum Hit Points at the start of every turn, and Grass-Type attacks performed by grounded Pokémon and Trainers gain a +10 bonus to Damage Rolls.",Beauty - Get Ready,350,
239,Horn Leech,10,Scene x2,2,8,Physical,"Melee, 1 Target, Dash","After the target takes damage, the user gains Hit Points equal to half of the damage they dealt to the target.",Smart - Good Show!,350,
240,Ingrain,10,Scene,0,0,Status,"Self, Coat","Ingrain applies a Coat to the user, which has the following effect; the user cannot be pushed or pulled, and cannot be switched out. At the beginning of each of the user's turn, the user gains Hit Points equal to 1/10th of its max Hit Points.",Smart - Safe Option,350,
241,Leaf Blade,10,EOT,2,9,Physical,"Melee, Pass",Leaf Blade is a Critical Hit on 18+.,Cool - Exhausting Act,351,
242,Leaf Storm,10,Scene,4,12,Special,"8, Ranged Blast 3, Smite",Lower the user's Special Attack 2 Combat Stages after damage.,Cute - Seen Nothing Yet,351,
243,Leaf Tornado,10,At-Will,4,7,Special,"6, Ranged Blast 3","Small or Medium targets in the central square of the blast are not hit. On 15+, all legal targets have their Accuracy lowered by -1.",Beauty - Good Show!,351,
244,Leech Seed,10,Daily x2,4,0,Status,"6, 1 Target","At the beginning of each of the target's turns, Leech Seed's target loses 1/10th of their full Hit Point value. Leech Seed's user then gains Hit Points equal to the amount the target lost. Leech Seed lasts until the target faints or is returned to a Poké Ball. Grass Types and targets immune to Grass Attacks are immune to Leech Seed.",Smart - Safe Option,351,
245,Magical Leaf,10,EOT,0,6,Special,"8, 1 Target",Magical Leaf cannot miss.,Beauty - Exhausting Act,351,
246,Mega Drain,10,At-Will,2,4,Special,"6, 1 Target","After the target takes damage, the user gains Hit Points equal to half of the damage they dealt to the target.",Smart - Good Show!,351,
247,Needle Arm,10,At-Will,2,6,Physical,"Melee, 1 Target",Needle Arm Flinches the target on 15+.,Smart - Steady Performance,351,
248,Petal Blizzard,10,EOT,2,9,Physical,Burst 1,None.,Beauty - Big Show,351,
249,Petal Dance,10,Scene x2,3,12,Special,"Melee, all adjacent foes, Smite","After damage is dealt, the user becomes Enraged and Confused.",Beauty - Safe Option,352,
250,Power Whip,10,Scene x2,5,12,Physical,"8, 1 Target",None Grants Threaded,Beauty - Steady Performance,352,
251,Razor Leaf,10,At-Will,4,6,Physical,Cone 2,Razor Leaf is a Critical Hit on 18+.,Cool - Steady Performance,352,
252,Seed Bomb,10,At-Will,2,8,Physical,"8, 1 Target",None,Smart - Steady Performance,352,
253,Seed Flare,10,Scene,5,12,Special,"6, Ranged Blast 3",All Legal Targets have their Special Defense lowered 1 Combat Stage.,Cool - Seen Nothing Yet,352,
254,Sleep Powder,10,Scene x2,6,0,Status,"4, 1 Target, Powder",The target falls asleep.,Smart - Inversed Appeal,352,
255,Solar Beam,10,Scene x2,2,12,Special,"Line 6, 1 Target, Set-Up","Set-Up Effect: If the weather is not Sunny, the user's turn ends. If the weather is Sunny, immediately proceed to the Resolution Effect instead and this Move loses the Set-Up keyword. Resolution Effect: The user attacks with Solar Beam. If the weather is Rainy, Sandstorming, or Hailing, Solar Beam's Damage Base is lowered to 6 (2d6+8 / 15).",Cool - Special Attention,352,TM 22
256,Spiky Shield,10,Scene,0,0,Status,"Self, Interrupt, Shield, Trigger","If the user is hit by an attack, the user may use Spiky Shield. The user is instead not hit by the Move. You do not take any damage nor are you affected by any of the Move's effects. In addition, if the triggering attack was Melee ranged, the attacker loses Hit Points equal to 1/10th of their max Hit Points.",Tough - Inversed Appeal,353,
257,Spore,10,Scene,0,0,Status,"4, 1 Target, Powder",The target falls Asleep.,Beauty - Get Ready!,353,
258,Stun Spore,10,Scene x2,6,0,Status,"6, 1 Target, Powder",The target is Paralyzed.,Smart - Excitement,353,
259,Synthesis,10,Daily x2,0,0,Status,Self,"The user regains Hit Points equal to half of its full Hit Point value. If it is Sunny, the user gains 2/3 of its full Hit Point value instead. If it is Rainy, Sand Storming or Hailing the user gains 1/4 of their full Hit Point value instead.",Smart - Reflective Appeal,353,
260,Vine Whip,10,At-Will,2,4,Physical,"4, 1 Target",None Grants Threaded,Cool - Steady Performance,353,
261,Wood Hammer,10,Scene x2,2,12,Physical,"Melee, 1 Target, Dash, Recoil 1/3",None,Tough - Desperation,353,
262,Worry Seed,10,Scene,2,0,Status,"8, 1 Target","The target's Ability is replaced with Insomnia. If the target has multiple Abilities, Worry Seed only replaces one, chosen at random.",Beauty - Excitement,353,
263,Bone Club,11,At-Will,5,7,Physical,"Melee, 1 Target",Bone Club Flinches the target on 18+.,Tough - Steady Performance,354,
264,Bone Rush,11,EOT,4,3,Physical,"Melee, 1 Target, Five Strike",None,Tough - Reliable,354,
265,Bonemerang,11,EOT,3,5,Physical,"6, Double Strike",None,Tough - Reliable,354,
266,Bulldoze,11,EOT,2,6,Physical,Burst 1,All Legal Targets are lowered 1 Speed Combat Stage.,Cool - Steady Performance,354,TM 78
267,Dig,11,EOT,2,8,Physical,"Burst 1, Set-Up, Full Action, Groundsource","Set-Up Effect: The user shifts 25 meters underground and their turn ends. Resolution Effect: The user may shift horizontally using their burrow or overland speed, and then shifts 25 meters straight up. Upon reaching the surface, the user attacks with Dig, creating a Burst 1. Grants Burrow +3",Smart - Special Attention,354,TM 28
268,Drill Run,11,At-Will,3,8,Physical,"Melee, 1 Target",Drill Run is a Critical Hit on 18+.,Cool - Steady Performance,354,
269,Earth Power,11,EOT,2,9,Special,"6, 1 Target, Groundsource",Earth Power lowers the Special Defense of all Legal Targets 1 Combat Stage on 16+.,Smart - Desperation,354,
270,Earthquake,11,Scene,2,10,Physical,"Burst 3, Groundsource","Earthquake can hit targets that are underground, including those using the Move Dig. Grants Groundshaper",Tough - Desperation,355,TM 26
271,Fissure,11,Daily,0,0,Status,"5, 1 Target, Execute, Groundsource","Roll 1d100. This roll may not be modified in any way. If you roll X or lower, the target Faints. X is equal to 30 + The User's Level - The Target's Level. Grants Groundshaper",Tough - Big Show,355,
272,Land's Wrath,11,Scene x2,2,9,Physical,"Burst 5, Friendly, Groundsource",None. Grants Groundshaper,Tough - Big Show,355,
273,Magnitude,11,EOT,0,0,Physical,"Burst 2, Groundsource","When you use Magnitude, roll 1d6. Magnitude's Damage Base is equal to 5+X, where X is the value of the d6. Magnitude can hit targets that are underground, including those using the Move Dig. Grants Groundshaper",Tough - Desperation,355,
274,Mud Bomb,11,At-Will,4,7,Special,"6, 1 Target",The target's Accuracy is lowered by -1 on 16+.,Smart - Desperation,355,
275,Mud Shot,11,At-Will,3,6,Special,"3, 1 Target",The target's Speed is lowed by -1 Combat Stage.,Tough - Desperation,355,
276,Mud Sport,11,EOT,0,0,Status,Burst 2,"All targets in the burst, including the user, gain a Coat which grants them 1 Step of Resistance to Electric Type Moves. After a target has been hit by a damaging Electric Type Move, the coat is removed.",Cute - Sabotage,355,
277,Mud-Slap,11,At-Will,2,2,Special,"3, 1 Target",The target's Accuracy is lowered by -1.,Cute - Steady Performance,355,
278,Rototiller,11,Scene,0,0,Status,Burst 2,All Grass-type Pokémon in the area raise their Attack and Special Attack 1 Combat Stage.,Tough - Special Attention,356,
279,Sand Tomb,11,Scene x2,4,4,Physical,"5, 1 Target",The target is put in a Vortex.,Smart - Safe Option,356,
280,Sand Attack,11,EOT,2,0,Status,"2, 1 Target",The target is Blinded until the end of their next turn.,Cute - Excitement,356,
281,Spikes,11,At-Will,0,0,Status,"6, Hazard","Set 8 square meters of Spikes within your range, all 8 meters must be adjacent with at least one other space of Spikes. Spikes cause terrain to count as Slow Terrain, and a grounded foe that runs into the hazards will lose 1/10th of their full Hit Points and become Slowed until the end of their next turn.",Smart - Sabotage,356,
282,Aurora Beam,12,At-Will,2,7,Special,"6, 1 Target",Aurora Beam lowers the target's Attack 1 Combat Stage on 18+. Grants Freezer,Beauty - Exhausting Act,357,
283,Avalanche,12,EOT,2,6,Physical,"Melee, 1 Target","When declaring Avalanche, the user does nothing and may not Shift. At the end of the round, the user Shifts and uses Avalanche on any legal target. If the target damaged the user this round, Avalanche has a Damage Base of 12 (4d10+15 / 40) instead.",Cool - Double Time,357,
284,Blizzard,12,Scene x2,7,11,Special,"4, Ranged Blast 2, Smite","Blizzard Freezes all legal target on 15+. If the target is in Hailing Weather, Blizzard cannot miss.",Beauty - Exhausting Act,357,TM 14
285,Freeze-Dry,12,EOT,2,7,Special,"6, 1 Target.","When calculating Weakness and Resistance for Freeze-Dry, Water-Typed targets calculate damage as if Water was weak to Ice.",Tough - Saving Grace,357,
286,Freeze Shock,12,Scene,4,14,Physical,"10, Single Target, Set-Up, Full Action","Set-Up Effect: The user may shift, then ends their turn. Resolution Effect: The user uses Freeze Shock's attack. Freeze Shock paralyzes on 15+.",Beauty - Seen Nothing Yet,357,
287,Frost Breath,12,EOT,3,6,Special,"4, 1 Target","If Frost Breath hits, it is a Critical Hit. Grants Freezer",Beauty - Steady Performance,357,TM 79
288,Glaciate,12,EOT,3,7,Special,Burst 2,"All Legal Targets have their Speed lowered 1 Combat Stage. On an Even-Numbered Roll, all Legal Targets on the ground are Slowed.",Beauty - Steady Performance,358,
289,Hail,12,Daily x2,0,0,Status,"Field, Weather","The weather changes to Hail. While it is Hailing, all non-Ice Type Pokémon lose 1/10th of their full Hit Points at the beginning of their turn.",Beauty - Sabotage,358,TM 07
290,Haze,12,Scene x2,0,0,Status,Field,The Combat Stages of the user and all Pokémon and Trainers in the encounter are set to their default state (usually 0).,Beauty - Sabotage,358,
291,Ice Ball,12,At-Will,4,3,Physical,"Melee, 1 Target","The user continues to use Ice Ball on each of its turns until they miss any target with Ice Ball, or are not able to hit any target with Ice Ball during their turn. Each successive use of Ice Ball increases Ice Ball's Damage Base by +3.",Beauty - Reliable,358,
292,Ice Beam,12,EOT,2,9,Special,"6, 1 Target",Ice Beam Freezes on 19+ during Accuracy Check.,Beauty - Exhausting Act,358,TM 13
293,Ice Burn,12,Scene,4,14,Special,"10, Single Target, Set-Up, Full Action","Set-Up Effect: The user may shift, then ends their turn. Resolution Effect: The user uses Ice Burn's attack. Ice Burn Burns on 15+.",Beauty - Seen Nothing Yet,358,
294,Ice Fang,12,At-Will,3,7,Physical,"Melee, 1 Target","Ice Fang Freezes or Flinches on 18+ during Accuracy Check; flip a coin to determine whether the foe gets Frozen or Flinches. On 20 during Accuracy Check, the foe is Frozen and Flinches.",Cool - Steady Performance,358,
295,Ice Punch,12,At-Will,2,8,Physical,"Melee, 1 Target",Ice Punch Freezes the target on 19+ during Accuracy Check.,Beauty - Exhausting Act,358,
296,Ice Shard,12,At-Will,2,4,Physical,"4, 1 Target, Priority","Priority - If the user has not yet taken their turn that round, Ice Shard may be declared during a foe's turn to immediately take your turn and use Ice Shard.",Beauty - Saving Grace,359,
297,Icicle Crash,12,EOT,4,8,Physical,"6, 1 Target",Icicle Crash Flinches the target on 15+.,Tough - Steady Performance,359,
298,Icicle Spear,12,EOT,4,3,Physical,"6, 1 Target, Five Strike",None,Beauty - Reliable,359,
299,Icy Wind,12,EOT,3,6,Special,Cone 2,All Legal Targets have their Speed lowered 1 Combat Stage.,Beauty - Desperation,359,
300,Mist,12,Scene x2,0,0,Status,Blessing,"Blessing – Any user affected by Mist may activate it when having Combat Stages lowered by any effect; if they do, those Combat Stages are instead not lowered. Mist may be activated 3 times, and then disappears.",Beauty - Sabotage,359,
301,Powder Snow,12,At-Will,2,4,Special,Line 4,Powder Snow Freezes all Legal Targets on 19+. Grants Freezer,Beauty - Steady Performance,359,
302,Sheer Cold,12,Daily,0,0,Status,"4, 1 Target, Execute","Roll 1d100. This roll may not be modified in any way. If you roll X or lower, the target Faints. X is equal to 30 + The User's Level - The Target's Level. Grants Freezer",Beauty - Big Show,359,
