"Number","Name","Type1","Type2","Male","Female","WeightClass","Size","BaseHP","BaseAtk","BaseDef","BaseSpAtk","BaseSpDef","BaseSpeed","NumberEvols","Capabilities","Skills","MinimumLevel"
96,"Drowzee",15,0,50,50,3,"Medium",6,5,5,4,9,4,1,"Overland 4, Swim 2, Jump 1/1, Power 4, Intelligence 4, Mind Lock, Dream Reader, Underdog","Athl 2d6+1, Acro 2d6, Combat 2d6, Stealth 3d6+2, Percep 2d6, Focus 3d6+1",1
97,"Hypno",15,0,50,50,4,"Medium",9,7,7,7,12,7,0,"Overland 5, Swim 2, Jump 1/1, Power 6, Intelligence 5, Mind Lock, Dream Reader","Athl 3d6+2, Acro 2d6, Combat 3d6, Stealth 4d6+3, Percep 3d6+2, Focus 4d6+2",25
98,"Krabby",18,0,50,50,1,"Small",3,11,9,3,3,5,1,"Overland 5, Swim 3, Burrow 1, Jump 1/1, Power 3, Intelligence 3, Gilled, Underdog","Athl 3d6, Acro 2d6, Combat 2d6, Stealth 2d6, Percep 2d6, Focus 3d6",1
99,"Kingler",18,0,50,50,4,"Medium",6,13,12,5,5,8,0,"Overland 6, Swim 4, Burrow 1, Jump 1/1, Power 6, Intelligence 4, Gilled","Athl 4d6+2, Acro 2d6, Combat 4d6, Stealth 2d6, Percep 2d6, Focus 3d6",25
100,"Voltorb",4,0,0,0,1,"Small",4,3,5,6,6,10,1,"Overland 6, Swim 3, Jump 1/1, Power 2, Intelligence 3, Shrinkable, Volatile Bomb, Underdog","Athl 3d6+1, Acro 2d6+1, Combat 1d6, Stealth 3d6+2, Percep 2d6, Focus 2d6+1",1
101,"Electrode",4,0,0,0,4,"Medium",6,5,7,8,8,14,0,"Overland 8, Swim 3, Jump 1/1, Power 4, Intelligence 4, Shrinkable, Volatile Bomb","Athl 4d6+1, Acro 3d6+1, Combat 1d6, Stealth 4d6+2, Percep 3d6, Focus 3d6+1",30
102,"Exeggcute",10,15,50,50,1,"Small",6,4,8,6,5,4,1,"Overland 2, Swim 1, Jump 1/1, Power 1 Intelligence 4, Naturewalk (Grassland, Forest), Underdog","Athl 2d6, Acro 2d6, Combat 2d6, Stealth 3d6+2, Percep 2d6+1, Focus 3d6+1",1
103,"Exeggutor",10,15,50,50,5,"Medium",10,10,9,13,7,6,0,"Overland 5, Swim 3, Jump 1/2, Power 6 Intelligence 5, Naturewalk (Grassland, Forest)","Athl 3d6+2, Acro 2d6, Combat 2d6, Stealth 4d6+3, Percep 4d6+2, Focus 5d6+2",1
104,"Cubone",11,0,50,50,1,"Small",5,5,10,4,5,4,1,"Overland 5, Swim 2, Jump 1/1, Power 2, Intelligence 3, Darkvision, Underdog, Wielder","Athl 3d6, Acro 2d6, Combat 3d6, Stealth 3d6+1, Percep 2d6+1, Focus 3d6+1",1
105,"Marowak",11,0,50,50,3,"Medium",6,8,11,5,8,5,0,"Overland 6, Swim 3, Jump 1/2, Power 4, Intelligence 4, Darkvision, Wielder","Athl 4d6, Acro 3d6, Combat 4d6, Stealth 4d6+1, Percep 3d6+1, Focus 4d6+2",25
106,"Hitmonlee",6,0,100,0,3,"Medium",5,12,5,4,11,9,0,"Overland 6, Swim 3, Jump 3/4, Power 6, Intelligence 4, Reach 2","Athl 5d6+2, Acro 4d6+4, Combat 5d6, Stealth 3d6, Percep 3d6, Focus 3d6+2",20
107,"Hitmonchan",6,0,100,0,4,"Medium",5,11,8,4,11,8,0,"Overland 5, Swim 3, Jump 2/2, Power 7, Intelligence 4","Athl 5d6+2, Acro 2d6+3, Combat 5d6, Stealth 3d6, Percep 3d6, Focus 5d6+2",20
108,"Lickitung",13,0,50,50,4,"Medium",9,6,8,6,8,3,1,"Overland 5, Swim 4, Jump 3/2, Power 4, Intelligence 3, Reach 2, Underdog","Athl 3d6, Acro 2d6, Combat 2d6, Stealth 2d6, Percep 2d6, Focus 2d6",1
109,"Koffing",14,0,50,50,1,"Small",4,7,10,6,5,4,1,"Overland 3, Swim 1, Levitate 3, Jump 1/1, Power 2, Intelligence 3, Volatile Bomb, Underdog","Athl 2d6, Acro 2d6+1, Combat 2d6, Stealth 2d6, Percep 2d6, Focus 2d6",1
110,"Weezing",14,0,50,50,1,"Medium",7,9,12,9,7,6,0,"Overland 2, Swim 1, Levitate 4, Jump 1/1, Power 4, Intelligence 4, Volatile Bomb","Athl 3d6+1, Acro 2d6, Combat 2d6, Stealth 1d6, Percep 2d6, Focus 3d6",35
111,"Rhyhorn",11,16,50,50,5,"Medium",8,9,10,3,3,3,2,"Overland 6, Swim 2, Jump 0/1, Power 6, Intelligence 2, Tracker, Underdog, Mountable 1","Athl 3d6+3, Acro 1d6, Combat 2d6+1, Stealth 2d6, Percep 2d6, Focus 1d6",1
112,"Rhydon",11,16,50,50,5,"Medium",11,13,12,5,5,4,1,"Overland 5, Swim 2, Jump 1/2, Power 8, Intelligence 3, Tracker, Mountable 1","Athl 4d6+3, Acro 2d6, Combat 4d6, Stealth 2d6, Percep 3d6, Focus 3d6+1",40
113,"Chansey",13,0,0,100,3,"Medium",25,1,1,4,11,5,1,"Overland 5, Swim 2, Jump 1/1, Power 1, Intelligence 3","Athl 2d6, Acro 2d6+1, Combat 1d6, Stealth 2d6+1, Percep 2d6+1, Focus 4d6+1",10
114,"Tangela",10,0,50,50,3,"Medium",7,6,12,10,4,6,1,"Overland 4, Swim 1, Jump 1/1, Power 4, Intelligence 3, Naturewalk (Grassland, Forest), Reach 2, Underdog","Athl 3d6+1, Acro 2d6+1, Combat 2d6, Stealth 3d6+2, Percep 2d6+1, Focus 3d6+1",1
115,"Kangaskhan",13,0,0,100,4,"Medium",11,10,8,4,8,9,0,"Overland 7, Swim 4, Jump 3/3, Power 7, Intelligence 4, Marsupial","Athl 4d6, Acro 4d6+2, Combat 3d6+1, Stealth 2d6, Percep 3d6, Focus 2d6+2",1
116,"Horsea",18,0,50,50,1,"Small",3,4,7,7,3,6,2,"Overland 2, Swim 5, Jump 1/1, Power 1, Intelligence 3, Fountain, Gilled, Underdog","Athl 2d6, Acro 2d6, Combat 1d6+1, Stealth 2d6, Percep 2d6, Focus 2d6+1",1
117,"Seadra",18,0,50,50,2,"Medium",6,7,10,10,5,9,1,"Overland 3, Swim 6, Jump 1/2, Power 3, Intelligence 4, Fountain, Gilled","Athl 3d6+1, Acro 2d6, Combat 3d6, Stealth 2d6, Percep 2d6+2, Focus 3d6+2",30
118,"Goldeen",18,0,50,50,2,"Small",5,7,6,4,5,6,1,"Overland 1, Swim 5, Jump 3/2, Power 1, Intelligence 4, Gilled, Underdog","Athl 2d6, Acro 3d6+1, Combat 2d6, Stealth 2d6, Percep 2d6, Focus 2d6",1
119,"Seaking",18,0,50,50,3,"Medium",8,9,7,7,8,7,0,"Overland 1, Swim 6, Jump 3/3, Power 3, Intelligence 4, Gilled","Athl 4d6, Acro 3d6+1, Combat 3d6+1, Stealth 2d6, Percep 2d6, Focus 3d6",30
120,"Staryu",18,0,0,0,3,"Small",3,5,6,7,6,9,1,"Overland 1, Swim 3, Sky 4, Jump 2/4, Power 2, Intelligence 4, Fountain, Gilled, Underdog","Athl 2d6, Acro 4d6, Combat 2d6, Stealth 4d6, Percep 3d6, Focus 2d6",1
121,"Starmie",18,0,0,0,4,"Medium",6,8,9,10,9,10,0,"Overland 1, Swim 6, Sky 6, Jump 2/3, Power 3, Intelligence 4, Fountain, Gilled","Athl 2d6, Acro 3d6, Combat 2d6, Stealth 4d6, Percep 4d6, Focus 4d6",1
122,"Mr. Mime",15,5,50,50,4,"Medium",4,5,7,10,12,9,0,"Overland 5, Swim 3, Jump 1/1, Power 5, Intelligence 6, Telekinetic, Telepath","Athl 3d6+2, Acro 2d6+1, Combat 2d6, Stealth 3d6+2, Percep 4d6+2, Focus 5d6+3",15
123,"Scyther",1,8,50,50,4,"Medium",7,11,8,6,8,11,1,"Overland 8, Swim 4, Sky 8, Jump 2/3, Power 6, Intelligence 4, Naturewalk (Grassland, Forest)","Athl 4d6, Acro 5d6+2, Combat 4d6+2, Stealth 3d6+2, Percep 3d6, Focus 3d6-2",1
124,"Jynx",12,15,0,100,3,"Medium",7,5,4,12,10,10,0,"Overland 5, Swim 3, Jump 1/2, Power 4, Intelligence 4, Freezer, Naturewalk (Tundra), Telekinetic, Telepath","Athl 3d6, Acro 3d6+2, Combat 3d6, Stealth 2d6, Percep 3d6+1, Focus 3d6+2",30
125,"Electabuzz",4,0,75,25,3,"Medium",7,8,6,10,9,11,1,"Overland 7, Swim 3, Jump 1/2, Power 5, Intelligence 4, Zapper","Athl 4d6+1, Acro 3d6+1, Combat 3d6+2, Stealth 2d6+2, Percep 3d6, Focus 3d6",30
126,"Magmar",7,0,75,25,3,"Medium",7,10,6,10,9,10,1,"Overland 5, Swim 3, Jump 1/1, Power 5, Intelligence 4, Egg Warmer, Firestarter, Glow, Heater","Athl 3d6+3, Acro 2d6, Combat 3d6, Stealth 1d6, Percep 3d6, Focus 3d6+2",30
127,"Pinsir",1,0,50,50,4,"Medium",7,13,10,6,7,9,0,"Overland 5, Swim 3, Jump 1/1, Power 8, Intelligence 4, Naturewalk (Grassland, Forest)","Athl 5d6+3, Acro 3d6+1, Combat 5d6, Stealth 3d6+1, Percep 3d6+1, Focus 3d6+1",1
128,"Tauros",13,0,100,0,4,"Medium",8,10,10,4,7,11,0,"Overland 8, Swim 4, Jump 1/2, Power 8, Intelligence 4, Mountable 1, Pack Mon","Athl 5d6+2, Acro 2d6+2, Combat 4d6+1, Stealth 1d6+2, Percep 1d6+2, Focus 3d6+2",1
129,"Magikarp",18,0,50,50,1,"Small",2,1,6,2,2,8,1,"Overland 1, Swim 5, Jump 3/3, Power 1, Intelligence 2, Gilled, Underdog","Athl 1d6, Acro 2d6, Combat 1d6, Stealth 2d6, Percep 1d6, Focus 2d6",1
130,"Gyarados",18,8,50,50,6,"Huge",10,13,8,6,10,8,0,"Overland 5, Swim 6, Jump 4/4, Power 13, Intelligence 4, Gilled, Reach 2, Mountable 4","Athl 6d6+1, Acro 3d6, Combat 4d6+2, Stealth 2d6, Percep 3d6, Focus 4d6",20
131,"Lapras",18,12,50,50,6,"Large",13,9,8,9,10,6,0,"Overland 2, Swim 10, Jump 0/0, Power 8, Intelligence 4, Fountain, Gilled, Naturewalk (Tundra), Mountable 2","Athl 4d6+1, Acro 1d6, Combat 3d6, Stealth 2d6, Percep 3d6+1, Focus 4d6",1
132,"Ditto",13,0,0,0,1,"Small",5,5,5,5,5,5,0,"Overland 4, Swim 4, Jump 1/1, Power 1, Intelligence 4, Amorphous, Wallclimber, Shapeshifter, Underdog","Athl 2d6, Acro 2d6, Combat 2d6, Stealth 4d6+2, Percep 3d6, Focus 3d6",1
133,"Eevee",13,0,87.5,12.5,1,"Small",6,6,5,5,7,6,1,"Overland 4, Jump 1/1, Power 2, Intelligence 3, Tracker, Underdog","Athl 3d6+2, Acro 2d6+1, Combat 2d6, Stealth 2d6+1, Percep 2d6+1, Focus 2d6",1
134,"Vaporeon",18,0,87.5,12.5,3,"Medium",13,7,6,11,10,7,0,"Overland 5, Swim 8, Jump 1/2, Power 3, Intelligence 4, Amorphous, Gilled, Fountain, Tracker","Athl 5d6+2, Acro 3d6+1, Combat 3d6+2, Stealth 3d6+2, Percep 3d6+2, Focus 3d6+2",1
135,"Jolteon",4,0,87.5,12.5,2,"Medium",7,7,6,11,10,13,0,"Overland 10, Swim 5, Jump 2/3, Power 3, Intelligence 4, Tracker, Zapper","Athl 4d6+2, Acro 5d6+2, Combat 3d6+2, Stealth 4d6+2, Percep 3d6, Focus 3d6",1
136,"Flareon",7,0,87.5,12.5,3,"Medium",7,13,6,10,11,7,0,"Overland 7, Swim 3, Jump 1/2, Power 3, Intelligence 4, Egg Warmer, Firestarter, Tracker","Athl 5d6+2, Acro 3d6+1, Combat 4d6+1, Stealth 3d6+2, Percep 4d6+2, Focus 3d6+2",1
137,"Porygon",13,0,0,0,3,"Small",7,6,7,9,8,4,2,"Overland 2, Swim 1, Levitate 4, Jump 1/1, Power 2, Intelligence 4, Wired, Underdog","Athl 1d6+2, Acro 2d6, Combat 2d6, Stealth 2d6, Percep 3d6, Focus 3d6, Edu: Tech 3d6",1
138,"Omanyte",16,18,87.5,12.5,1,"Small",4,4,10,9,6,4,1,"Overland 3, Swim 5, Jump 1/1, Power 1, Intelligence 3, Gilled, Underdog","Athl 2d6+2, Acro 2d6, Combat 2d6, Stealth 2d6+2, Percep 2d6, Focus 3d6+1",1
139,"Omastar",16,18,87.5,12.5,3,"Medium",7,6,13,12,7,6,0,"Overland 4, Swim 7, Jump 1/1, Power 4, Intelligence 4, Gilled","Athl 3d6+2, Acro 2d6, Combat 3d6+2, Stealth 3d6+2, Percep 3d6+1, Focus 4d6+2",40
140,"Kabuto",16,18,87.5,12.5,2,"Small",3,8,9,6,5,6,1,"Overland 4, Swim 4, Burrow 2, Jump 0/1, Power 2, Intelligence 3, Gilled, Underdog","Athl 2d6+2, Acro 1d6, Combat 2d6, Stealth 3d6+2, Percep 2d6, Focus 3d6+1",1
141,"Kabutops",16,18,87.5,12.5,3,"Medium",6,12,11,7,7,8,0,"Overland 6, Swim 6, Jump 1/1, Power 2, Intelligence 3, Gilled","Athl 3d6+2, Acro 3d6+2, Combat 4d6+2, Stealth 4d6+2, Percep 2d6, Focus 4d6+1",40
142,"Aerodactyl",16,8,87.5,12.5,4,"Huge",8,11,7,6,8,13,0,"Overland 4, Swim 3, Sky 10, Jump 2/3, Power 8, Intelligence 5, Mountable 1","Athl 5d6+2, Acro 4d6, Combat 4d6, Stealth 2d6, Percep 3d6+1, Focus 4d6+3",1
143,"Snorlax",13,0,87.5,12.5,6,"Large",16,11,7,7,11,3,0,"Overland 5, Swim 1, Jump 2/2, Power 12, Intelligence 4, Tracker","Athl 6d6, Acro 2d6, Combat 3d6+1, Stealth 2d6, Percep 5d6, Focus 4d6",25
144,"Articuno",12,8,0,0,4,"Large",9,9,10,10,13,9,0,"Overland 5, Swim 5, Sky 10, Jump 2/3, Power 7, Intelligence 5, Freezer, Glow, Guster, Mountable 1","Athl 5d6+2, Acro 4d6, Combat 4d6+2, Stealth 2d6+1, Percep 3d6, Focus 5d6",1
145,"Zapdos",4,8,0,0,4,"Large",9,9,9,13,9,10,0,"Overland 5, Swim 5, Sky 10, Jump 2/3, Power 7, Intelligence 5, Glow, Guster, Zapper, Mountable 1","Athl 4d6, Acro 5d6+2, Combat 4d6+2, Stealth 2d6+1, Percep 5d6, Focus 3d6",1
146,"Moltres",7,8,0,0,4,"Large",9,10,9,13,9,9,0,"Overland 5, Swim 5, Sky 10, Jump 2/3, Power 7, Intelligence 5, Firestarter, Glow, Guster, Heater, Mountable 1","Athl 5d6+2, Acro 3d6, Combat 4d6+2, Stealth 2d6+1, Percep 4d6, Focus 5d6",1
147,"Dratini",3,0,50,50,1,"Medium",4,6,5,5,5,5,2,"Overland 4, Swim 4, Jump 1/1, Power 1, Intelligence 3, Underdog","Athl 3d6+2, Acro 2d6, Combat 2d6, Stealth 3d6, Percep 2d6, Focus 2d6+1",1
148,"Dragonair",3,0,50,50,2,"Medium",6,8,7,7,7,7,1,"Overland 5, Swim 6, Sky 4, Jump 2/2, Power 3, Intelligence 4, Underdog","Athl 4d6+2, Acro 3d6, Combat 3d6, Stealth 2d6, Percep 3d6, Focus 3d6+1",30
149,"Dragonite",3,8,50,50,6,"Large",9,13,10,10,10,10,0,"Overland 6, Swim 6, Sky 8, Jump 3/4, Power 8, Intelligence 5, Aura Reader, Mountable 1","Athl 5d6+3, Acro 4d6+2, Combat 4d6, Stealth 1d6, Percep 4d6+2, Focus 4d6+3",50
150,"Mewtwo",15,0,0,0,5,"Large",11,11,9,15,9,13,0,"Overland 8, Swim 6, Sky 8, Jump 3/3, Power 7, Intelligence 7, Aura Reader, Glow, Invisibility, Telekinetic, Telepath","Athl 4d6, Acro 4d6, Combat 4d6, Stealth 3d6, Percep 5d6+6, Focus 6d6+6",1
151,"Mew",15,0,0,0,1,"Small",10,10,10,10,10,10,0,"Overland 7, Swim 4, Sky 6, Jump 2/2, Power 3, Intelligence 6, Aura Reader, Glow, Invisibility, Telekinetic, Telepath, Shapeshifter","Athl 3d6, Acro 4d6+2, Combat 4d6, Stealth 5d6+2, Percep 4d6, Focus 6d6",1
152,"Chikorita",10,0,87.5,12.5,1,"Small",5,5,7,5,7,5,2,"Overland 5, Swim 3, Jump 1/1, Power 2, Intelligence 3, Naturewalk (Grassland, Forest), Underdog","Athl 3d6+2, Acro 3d6, Combat 2d6, Stealth 3d6, Percep 2d6, Focus 2d6",1
153,"Bayleef",10,0,87.5,12.5,2,"Medium",6,6,8,6,8,6,1,"Overland 7, Swim 4, Jump 2/2, Power 3, Intelligence 3, Naturewalk (Grassland, Forest), Underdog","Athl 4d6+4, Acro 3d6, Combat 2d6+2, Stealth 3d6, Percep 3d6, Focus 3d6",15
154,"Meganium",10,0,87.5,12.5,5,"Large",8,8,10,8,10,8,0,"Overland 8, Swim 4, Jump 2/2, Power 4, Intelligence 4, Naturewalk (Grassland, Forest)","Athl 5d6+4, Acro 3d6, Combat 3d6+2, Stealth 3d6, Percep 3d6, Focus 5d6",30
155,"Cyndaquil",7,0,87.5,12.5,1,"Small",4,5,4,6,5,7,2,"Overland 5, Swim 3, Jump 1/1, Burrow 2, Power 2, Intelligence 3, Firestarter, Heater, Glow, Underdog","Athl 2d6+2, Acro 2d6, Combat 2d6, Stealth 3d6+3, Percep 3d6, Focus 2d6",1
156,"Quilava",7,0,87.5,12.5,2,"Small",6,6,6,8,7,8,1,"Overland 7, Swim 4, Jump 2/2, Burrow 3, Power 3, Intelligence 3, Firestarter, Heater, Glow, Underdog","Athl 4d6+2, Acro 3d6, Combat 3d6, Stealth 4d6+3, Percep 3d6+3, Focus 3d6",15
157,"Typhlosion",7,0,87.5,12.5,4,"Medium",8,8,8,11,9,10,0,"Overland 9, Swim 5, Jump 2/2, Power 6, Intelligence 4, Firestarter, Heater, Glow","Athl 5d6+2, Acro 3d6, Combat 4d6+1, Stealth 4d6+3, Percep 4d6+3, Focus 4d6",30
158,"Totodile",18,0,87.5,12.5,1,"Small",5,7,6,4,5,4,2,"Overland 6, Swim 6, Jump 1/2, Power 2, Intelligence 2, Fountain, Underdog","Athl 2d6+2, Acro 3d6+2, Combat 2d6, Stealth 3d6+2, Percep 2d6, Focus 2d6",1
159,"Croconaw",18,0,87.5,12.5,2,"Medium",7,8,8,6,6,6,1,"Overland 7, Swim 7, Jump 1/2, Power 5, Intelligence 3, Fountain, Underdog","Athl 3d6+2, Acro 3d6+2, Combat 3d6, Stealth 4d6+2, Percep 3d6, Focus 3d6",15
160,"Feraligatr",18,0,87.5,12.5,4,"Large",9,11,10,8,8,8,0,"Overland 7, Swim 8, Jump 2/2, Power 8, Intelligence 4, Fountain","Athl 4d6+3, Acro 3d6, Combat 4d6+2, Stealth 4d6+3, Percep 4d6, Focus 4d6",30
161,"Sentret",13,0,50,50,1,"Small",4,5,3,4,5,2,1,"Overland 4, Swim 3, Jump 3/3, Power 1, Intelligence 3, Underdog","Athl 1d6, Acro 3d6, Combat 1d6, Stealth 3d6, Percep 4d6, Focus 2d6",1
162,"Furret",13,0,50,50,3,"Medium",9,8,6,5,6,9,0,"Overland 7, Swim 4, Jump 2/2, Power 3, Intelligence 4, Tracker","Athl 3d6, Acro 4d6, Combat 2d6+2, Stealth 4d6, Percep 6d6, Focus 2d6",15
163,"Hoothoot",13,8,50,50,2,"Small",6,3,3,4,6,5,1,"Overland 3, Swim 1, Sky 4, Jump 3/3, Power 1, Intelligence 3, Darkvision, Underdog","Athl 1d6, Acro 2d6, Combat 1d6, Stealth 3d6+1, Percep 3d6, Focus 2d6",1
164,"Noctowl",13,8,50,50,3,"Medium",10,5,5,8,10,7,0,"Overland 5, Swim 2, Sky 7, Jump 3/3, Power 3, Intelligence 4, Darkvision","Athl 3d6, Acro 2d6, Combat 2d6, Stealth 3d6, Percep 4d6, Focus 3d6",20
165,"Ledyba",1,8,50,50,1,"Small",4,2,3,4,8,6,1,"Overland 4, Swim 2, Sky 3, Jump 1/2, Power 2, Intelligence 3, Naturewalk (Grassland, Forest), Wallclimber, Underdog","Athl 2d6, Acro 3d6+1, Combat 2d6, Stealth 2d6, Percep 2d6+1, Focus 2d6",1
166,"Ledian",1,8,50,50,3,"Medium",6,4,5,6,11,9,0,"Overland 6, Swim 3, Sky 6, Jump 2/2, Power 4, Intelligence 4, Naturewalk (Grassland, Forest), Wallclimber","Athl 4d6, Acro 4d6+3, Combat 3d6+2, Stealth 3d6, Percep 3d6, Focus 3d6",15
167,"Spinarak",1,14,50,50,1,"Small",4,6,4,4,4,3,1,"Overland 4, Swim 2, Jump 1/2, Power 1, Intelligence 3, Naturewalk (Grassland, Forest), Threaded, Wallclimber, Underdog","Athl 1d6, Acro 3d6+1, Combat 2d6, Stealth 3d6+2, Percep 2d6, Focus 2d6",1
168,"Ariados",1,14,50,50,3,"Medium",7,9,7,6,6,4,0,"Overland 6, Swim 3, Jump 2/2, Power 3, Intelligence 4, Naturewalk (Grassland, Forest), Threaded, Wallclimber","Athl 2d6, Acro 4d6, Combat 3d6+2, Stealth 4d6+1, Percep 3d6, Focus 3d6",20
169,"Crobat",14,8,50,50,4,"Medium",9,9,8,7,8,13,0,"Overland 3, Swim 2, Sky 8, Jump 1/1, Power 5, Intelligence 4, Darkvision, Tracker, Mountable 1","Athl 3d6+2, Acro 5d6+3, Combat 4d6-1, Stealth 4d6, Percep 3d6, Focus 3d6",30
170,"Chinchou",18,4,50,50,2,"Small",8,4,4,6,6,7,1,"Overland 3, Swim 5, Jump 2/1, Power 1, Intelligence 3, Gilled, Glow, Underdog","Athl 1d6, Acro 2d6, Combat 2d6, Stealth 1d6-1, Percep 3d6, Focus 2d6",1
171,"Lanturn",18,4,50,50,2,"Medium",13,6,6,8,8,7,0,"Overland 2, Swim 7, Jump 3/2, Power 2, Intelligence 4, Gilled, Glow","Athl 3d6, Acro 2d6+2, Combat 2d6, Stealth 1d6-2, Percep 4d6, Focus 3d6",25
172,"Pichu",4,0,50,50,1,"Small",2,4,2,4,4,6,2,"Overland 3, Swim 1, Jump 1/2, Power 1, Intelligence 3, Zapper, Underdog","Athl 2d6, Acro 3d6, Combat 1d6, Stealth 3d6+2, Percep 2d6, Focus 2d6+1",1
173,"Cleffa",5,0,25,75,1,"Small",5,3,3,5,6,2,2,"Overland 3, Swim 2, Jump 1/1, Power 1, Intelligence 3, Underdog","Athl 1d6+1, Acro 2d6+2, Combat 1d6, Stealth 3d6, Percep 2d6, Focus 2d6+1",1
174,"Igglybuff",13,5,25,75,1,"Small",9,3,2,4,2,2,2,"Overland 3, Swim 2, Jump 1/1, Power 1, Intelligence 2, Inflatable, Underdog","Athl 1d6, Acro 3d6, Combat 1d6, Stealth 3d6, Percep 2d6, Focus 2d6+1",1
175,"Togepi",5,0,87.5,12.5,1,"Small",4,2,7,4,7,2,2,"Overland 3, Swim 2, Jump 1/1, Power 1, Intelligence 2, Underdog","Athl 2d6, Acro 2d6, Combat 1d6, Stealth 2d6+1, Percep 2d6, Focus 2d6+1",1
176,"Togetic",5,8,87.5,12.5,1,"Small",6,4,9,8,11,4,1,"Overland 5, Swim 3, Sky 5, Jump 2/2, Power 3, Intelligence 3, Underdog","Athl 3d6, Acro 3d6+1, Combat 2d6-1, Stealth 3d6, Percep 3d6+1, Focus 3d6+2",10
177,"Natu",15,8,50,50,1,"Small",4,5,5,7,5,7,1,"Overland 3, Swim 1, Sky 4, Jump 2/2, Power 1, Intelligence 3, Underdog","Athl 2d6, Acro 2d6+1, Combat 1d6, Stealth 3d6, Percep 3d6+1, Focus 3d6+2",1
178,"Xatu",15,8,50,50,2,"Medium",7,8,7,10,7,10,0,"Overland 6, Swim 2, Sky 8, Jump 4/4, Power 2, Intelligence 4, Telepath, Premonition","Athl 2d6, Acro 2d6, Combat 3d6, Stealth 3d6, Percep 5d6+5, Focus 5d6+5",25
179,"Mareep",4,0,50,50,1,"Small",6,4,4,7,5,4,2,"Overland 4, Swim 2, Jump 1/1, Power 1, Intelligence 3, Glow, Zapper, Underdog","Athl 2d6, Acro 3d6, Combat 1d6+1, Stealth 3d6+1, Percep 2d6, Focus 2d6",1
180,"Flaaffy",4,0,50,50,2,"Small",7,6,6,8,6,5,1,"Overland 6, Jump 1/2, Power 3, Intelligence 3, Glow, Zapper, Underdog","Athl 3d6+1, Acro 3d6+2, Combat 2d6, Stealth 3d6, Percep 2d6+1, Focus 3d6",15
181,"Ampharos",4,0,50,50,4,"Medium",9,8,9,12,9,6,0,"Overland 7, Jump 2/3, Power 5, Intelligence 4, Glow, Zapper","Athl 4d6+1, Acro 3d6+1, Combat 3d6+2, Stealth 2d6, Percep 2d6+2, Focus 4d6",30
182,"Bellossom",10,0,50,50,1,"Small",8,8,10,9,10,5,0,"Overland 5, Swim 3, Jump 1/1 Power 2, Intelligence 4, Alluring, Naturewalk (Grassland, Forest)","Athl 3d6+1, Acro 4d6, Combat 2d6, Stealth 2d6, Percep 2d6, Focus 4d6+2",20
183,"Marill",18,5,50,50,1,"Small",7,2,5,2,5,4,1,"Overland 4, Swim 4, Jump 1/2, Power 2, Intelligence 3, Fountain, Underdog","Athl 3d6+1, Acro 2d6+1, Combat 1d6+2, Stealth 2d6+2, Percep 3d6+1, Focus 3d6",10
184,"Azumarill",18,5,50,50,3,"Small",10,5,8,6,8,5,0,"Overland 5, Swim 5, Jump 1/2, Power 4, Intelligence 4, Fountain","Athl 4d6+2, Acro 3d6+1, Combat 2d6+2, Stealth 3d6+2, Percep 4d6+1, Focus 3d6+2",20
185,"Sudowoodo",16,0,50,50,3,"Medium",7,10,12,3,7,3,0,"Overland 5, Swim 3, Jump 1/1, Power 5, Intelligence 4, Stealth","Athl 3d6+2, Acro 2d6, Combat 2d6, Stealth 4d6+2, Percep 3d6, Focus 4d6+1",33
186,"Politoed",18,0,50,50,3,"Medium",9,8,8,9,10,7,0,"Overland 5, Swim 8, Jump 3/4, Power 4, Intelligence 5, Fountain, Gilled, Pack Mon","Athl 4d6+2, Acro 5d6+3, Combat 3d6+2, Stealth 2d6+1, Percep 3d6+1, Focus 4d6+2",30
187,"Hoppip",10,8,50,50,1,"Small",4,4,4,4,6,5,2,"Overland 2, Swim 2, Sky 3, Jump 2/2, Power 1, Intelligence 2, Naturewalk (Grassland, Forest), Underdog","Athl 2d6, Acro 3d6, Combat 1d6+1, Stealth 3d6, Percep 2d6, Focus 2d6",1
188,"Skiploom",10,8,50,50,1,"Small",6,5,5,5,7,5,1,"Overland 3, Swim 3, Sky 5, Jump 2/3, Power 2, Intelligence 3, Naturewalk (Grassland, Forest), Underdog","Athl 2d6+2, Acro 3d6+1, Combat 2d6, Stealth 2d6+1, Percep 2d6, Focus 3d6",15
189,"Jumpluff",10,8,50,50,1,"Small",8,6,7,6,10,11,0,"Overland 4, Swim 4, Sky 8, Jump 3/4, Power 2, Intelligence 4, Naturewalk (Grassland, Forest)","Athl 2d6+2, Acro 4d6+2, Combat 2d6+2, Stealth 3d6, Percep 2d6, Focus 4d6",30
190,"Aipom",13,0,50,50,2,"Small",6,7,6,4,6,9,1,"Overland 7, Swim 4, Jump 2/2, Power 2, Intelligence 4, Underdog","Athl 2d6, Acro 3d6, Combat 2d6, Stealth 2d6, Percep 2d6, Focus 2d6",1
191,"Sunkern",10,0,50,50,1,"Small",3,3,3,3,3,3,1,"Overland 1, Swim 1, Levitate 4, Jump 2/2, Power 1, Intelligence 3, Naturewalk (Grassland, Forest), Underdog","Athl 2d6+1, Acro 3d6+2, Combat 1d6, Stealth 3d6+1, Percep 3d6+1, Focus 3d6+1",1
